idx,t_s,x_m,y_m,vel_mps,heading_x,heading_y,spreading,dose_alvo_kg_ha
0,0.3358,0.0000,-90.1866,2.9782,1.000000,0.000000,1,60.000000
1,0.6717,1.0000,-90.1866,2.9770,1.000000,0.000000,1,60.000000
2,1.0077,2.0000,-90.1866,2.9758,1.000000,0.000000,1,60.000000
3,1.3439,3.0000,-90.1866,2.9746,1.000000,0.000000,1,60.000000
4,1.6802,4.0000,-90.1866,2.9733,1.000000,0.000000,1,60.000000
5,2.0167,5.0000,-90.1866,2.9719,1.000000,0.000000,1,60.000000
6,2.3534,6.0000,-90.1866,2.9705,1.000000,0.000000,1,60.000000
7,2.6902,7.0000,-90.1866,2.9691,1.000000,0.000000,1,60.000000
8,3.0271,8.0000,-90.1866,2.9676,1.000000,0.000000,1,60.000000
9,3.3643,9.0000,-90.1866,2.9661,1.000000,0.000000,1,60.000000
10,3.7016,10.0000,-90.1866,2.9645,1.000000,0.000000,1,60.000000
11,4.0391,11.0000,-90.1866,2.9629,1.000000,0.000000,1,60.000000
12,4.3768,12.0000,-90.1866,2.9612,1.000000,0.000000,1,60.000000
13,4.7147,13.0000,-90.1866,2.9595,1.000000,0.000000,1,60.000000
14,5.0528,14.0000,-90.1866,2.9577,1.000000,0.000000,1,60.000000
15,5.3911,15.0000,-90.1866,2.9559,1.000000,0.000000,1,60.000000
16,5.7296,16.0000,-90.1866,2.9541,1.000000,0.000000,1,60.000000
17,6.0684,17.0000,-90.1866,2.9522,1.000000,0.000000,1,60.000000
18,6.4073,18.0000,-90.1866,2.9503,1.000000,0.000000,1,60.000000
19,6.7465,19.0000,-90.1866,2.9483,1.000000,0.000000,1,60.000000
20,7.0859,20.0000,-90.1866,2.9463,1.000000,0.000000,1,60.000000
21,7.4255,21.0000,-90.1866,2.9443,1.000000,0.000000,1,60.000000
22,7.7654,22.0000,-90.1866,2.9423,1.000000,0.000000,1,60.000000
23,8.1055,23.0000,-90.1866,2.9402,1.000000,0.000000,1,60.000000
24,8.4459,24.0000,-90.1866,2.9381,1.000000,0.000000,1,60.000000
25,8.7865,25.0000,-90.1866,2.9359,1.000000,0.000000,1,60.000000
26,9.1273,26.0000,-90.1866,2.9338,1.000000,0.000000,1,60.000000
27,9.4684,27.0000,-90.1866,2.9316,1.000000,0.000000,1,60.000000
28,9.8098,28.0000,-90.1866,2.9294,1.000000,0.000000,1,60.000000
29,10.1514,29.0000,-90.1866,2.9272,1.000000,0.000000,1,60.000000
30,10.4933,30.0000,-90.1866,2.9250,1.000000,0.000000,1,60.000000
31,10.8354,31.0000,-90.1866,2.9228,1.000000,0.000000,1,60.000000
32,11.1778,32.0000,-90.1866,2.9206,1.000000,0.000000,1,60.000000
33,11.5205,33.0000,-90.1866,2.9184,1.000000,0.000000,1,60.000000
34,11.8634,34.0000,-90.1866,2.9162,1.000000,0.000000,1,60.000000
35,12.2066,35.0000,-90.1866,2.9140,1.000000,0.000000,1,60.000000
36,12.5500,36.0000,-90.1866,2.9119,1.000000,0.000000,1,60.000000
37,12.8937,37.0000,-90.1866,2.9097,1.000000,0.000000,1,60.000000
38,13.2376,38.0000,-90.1866,2.9076,1.000000,0.000000,1,60.000000
39,13.5818,39.0000,-90.1866,2.9056,1.000000,0.000000,1,60.000000
40,13.9262,40.0000,-90.1866,2.9035,1.000000,0.000000,1,60.000000
